norm_url,site,title,matched_candidates,page_age,snippet
clien.net/service/board/cm_iphonien/17579286,clien.net,(빠른애플페이기원) 월렛 한번 올려봅니다 : 클리앙,트래블월렛,,일본 거주중입니다. 현재 애플페이로 사용중인 카드가 들어있는 월렛 스샷 한번 올려봅니다! 먼저 위에서부터 첫 번째 카드는 세븐일레븐 등에서 사용 가능한 나나코입니다. 다만 페이페이 등의 바코드 결제를 많이 써서 ...
clien.net/service/board/cm_iphonien/17631741,clien.net,[14프맥] 신한 pLay 앱 인증 오류 [해결] : 클리앙,신한 SOL트래블,,"14프로맥스 직구로 기기 변경하고 금융관련 앱 중에서 유독 신한pLay 앱만 기기인증을 위한 문자발송을 하고나면 인증번호가 와야되는데, 인증번호 수신이 전혀 안됩니다. 저만 그런건지 앱 자체의 문제인지 알수가 없네요...;; ==============================본문 내용 추가 =========================== 댓글 내용 중 jayK917 님의 조언대로 수신차단 리스트에 신한카드 1544-7000 번이 등록된것이 원인이었습니다."
clien.net/service/board/cm_iphonien/18750081,clien.net,ios18인데 마이애플월렛이 안되네요 : 클리앙,트래블월렛,2024-06-21T00:00:00,사이트는 정상적으로 돌아가는 듯한데 ios18로 올려서인지 패스를 추가할 수 없다고 뜨네요 사파리 크롬 등 브라우저 바꿔서 해봐도요 ㅎㅎ 책이음 서비스 쓰면서 패스에 넣어서 쓰면 좋겠다는 생각에 오래간만에 해봤는데 ...
clien.net/service/board/cm_iphonien/18932320,clien.net,신한 애플페이 링크 - 진짜 이제 곧 : 클리앙,신한 SOL트래블,,3.15에 신한 수수료 조금 올리더군요. 빠르면 다음주 화요일 늦으면 25일 일가능성이 크겠네요. 신한이랑 교통이 같이 나오려나 보네요.
clien.net/service/board/cm_iphonien/18937424,clien.net,신한 터치월렛 교통카드 이식 어렵지 않네요 : 클리앙,신한 SOL트래블,,아세톤으로 나라사랑카드를 녹이고 IC칩을 부착했습니다. 칩과 연결된 구리선은 손으로 뜯었어요. 처음에는 IC칩이 너무 커서 접점이랑 잘 안맞길래 가위로 조금 잘랐습니다. 정말 성의없어 보이는데 잘 작동되네요..하하 ...
clien.net/service/board/cm_iphonien/18940426,clien.net,챗지피티.. 사람 차별 하나… : 클리앙,하나 트래블로그,,오늘 단톡방에서 이런걸 봄.. 오~~~ 나도 해봐야지.. 하고 시킴.. 근데 결과물은… 그래서 그림체도 다르고 한글도 아니니 다시 해달라고 함.. 이상하다 싶어.. “이성” 기능을 켜고 다시 해달라고 함.. 이 정도면..
clien.net/service/board/cm_iphonien/19172439,clien.net,토스 애플페이가 가능해지면 어떤점이 더 나아지는걸까요? : 클리앙,토스 트래블카드,2026-04-03T00:00:00,토스가 발급하는 카드에 대해서만 가능해지죠.
clien.net/service/board/cm_iphonien/8373015,clien.net,미국 스타벅스앱으로 국내 사용 가능한가요? : 클리앙,트래블월렛,2015-11-06T00:00:00,미국 스타벅스 앱으로 국내 카드 등록하고 애플워치에서 QR코드 보여줘서 인식하고 결제까지 가능한지 궁금합니다.
clien.net/service/board/cm_japanlive/18137102,clien.net,한국 TO 일본 송금 팁. : 클리앙,하나 트래블로그,2023-06-16T00:00:00,제일 좋은 방법 ##하나체크카드 트래블로그 사용 1) 세븐 OR 이온은행 ATM에서 출금수수료 ZERO 2) 기준환율 그대로 충전하여 출금가능
clien.net/service/board/cm_japanlive/18166721,clien.net,다카마쓰 다녀왔습니다 : 클리앙,하나 트래블로그,2023-07-04T00:00:00,마침 이렇게 댓 달아주시니 감사인사 드려봅니다. 말씀대로 페이페이 마크는 있는데 알리페이까지 문구 안붙어있으면 카카오페이 안되는 경우가 꽤 있더라구요 ㅎㅎ 다음에는 트래블월렛이랑 트래블로그 카드 마련해서 가려 합니다!
clien.net/service/board/cm_japanlive/18448116,clien.net,트래블월렛? 송금이 받는사람도 수수료를 내네요... : 클리앙,트래블월렛,,그 중 한 명이 요즘 한국에 <strong>트래블월렛</strong>? 이란 해외송금도 되고 해외에서 출금도 되고 하는 편리한 서비스가 있다고 그걸로 송금을 해 주겠다고 합니다.
clien.net/service/board/cm_japanlive/19035316,clien.net,TOSS 외화통장에서 엔화 인출시 수수료 (Feat 세븐ATM) : 클리앙,토스 트래블카드,2025-07-31T00:00:00,가끔.. (사실은 좀 자주..) 일본 생활비가 빵꾸나거나 목돈이 들어가야할때 한국에 있는 돈을 조금씩 가져오고 있습니다. 여러가지 환전서비스를 이용해봤는데 이 중에 토스가 예전에 ATM수수료 까지 면제였을때 가장 편하고 ...
clien.net/service/board/cm_lego/7800231,clien.net,아마존에서 두개를 따로 주문했는데 오더넘버가 하나로 묶였네요. 그런데 트래킹 넘버는 두개네요 : 클리앙,트래블월렛,,안녕하세요 아마존에서 만번대 두개를 주문했는데 시간차를 두고 하나씩 주문했거든요 그런데 오더넘버가 하나로 되었더라구요. 그런데 트래킹 넘버는 두개... 그래서 일단 배대지에는 따로 등록을 해 두었습니다.
clien.net/service/board/cm_oversea/16930877,clien.net,북미) 데이팅앱들 경험썰 : 클리앙,하나 트래블로그,2022-02-04T00:00:00,**아주 개인적인 경험이라서 일반화도 할수 없고 어떤 이야기는 다소 지엽적으로 느껴질수 있습니다. 미국에서 솔로탈출은 어려운것 같습니다. 가장 쉬운 방법은 잘생긴 얼굴로 다시 태어나는 방법인것 같습니다.
clien.net/service/board/cm_stock,clien.net,클리앙 : 주식한당,신한 SOL트래블,,커뮤니티 커뮤니티전체 C 모두의광장 F 모두의공원 I 사진게시판 Q 아무거나질문 D 정보와자료 N 새로운소식 T 유용한사이트 P 자료실 E 강좌/사용기 L 팁과강좌 U 사용기 · 체험단사용기 W 사고팔고 J 알뜰구매 S 회원중고장터 ...
clien.net/service/board/cm_stock/18759344,clien.net,퇴직연금 DC 이신 분들 : 클리앙,신한 SOL트래블,2024-07-05T00:00:00,안전자산 30프로 주로 뭐 사시나요 ? 그나마 나스닥 비율 좋다는 TDF 시리즈 샀는데도 나스닥100 40프로 수익일동안 겨우 10프로 수익 낫더군요. 제대로 추종은 하나 의문입니다. 최대한 에센피나 나스닥을 제대로 추종하는 ...
clien.net/service/board/cm_stock/19025279,clien.net,토스증권은 별로 인가요? : 클리앙,토스 트래블카드,,"안녕하세요? 지금 KB증권, 미래에셋 두 증권사 이용하고 있습니다. 오래된 계좌라 아무 생각 없이 이용하고 있었는데 혜택 비료를 해보니 <strong>토스</strong> 보다도 못 하더라고요. KB같은 경우 수수료가 국내주식 무료(2030년까지), 해외 ..."
clien.net/service/board/cm_vcoin,clien.net,클리앙 : 가상화폐당,신한 SOL트래블,,커뮤니티 커뮤니티전체 C 모두의광장 F 모두의공원 I 사진게시판 Q 아무거나질문 D 정보와자료 N 새로운소식 T 유용한사이트 P 자료실 E 강좌/사용기 L 팁과강좌 U 사용기 · 체험단사용기 W 사고팔고 J 알뜰구매 S 회원중고장터 ...
clien.net/service/board/cm_vcoin/17122064,clien.net,자동매매 서비스를 개발하고 있습니다. : 클리앙,트래블월렛,2022-03-23T00:00:00,안녕하세요. 눈팅 유저지만 나름 도움 많이 받고 있었습니다. 감사드립니다. 제가 최근에 가상화폐 자동매매 서비스를 개발중입니다. 사실 개인적으로 자동매매 프로그램을 만든지는 오래되었습니다.
clien.net/service/board/jirum,clien.net,클리앙 : 알뜰구매,토스 트래블카드,,토스결제 기준이고 할인 조건이 계속 바뀌는데 28000원에서 31000원대로 왔다갔다합니다
clien.net/service/board/jirum/16722824,clien.net,[토스] 구글 플레이스토어 결제시 50% 포인트 환급 (최대 5000원) : 클리앙,토스 트래블카드,,<strong>토스페이로 구글 스토어에서 결제하면 5000원까지 토스포인트로 돌려줍니다</strong>. 기간은 이달 말까지인데 무언가 소진되면 끝이라고 하네요. 아직 되는것을 확인했습니다. 그러니까 만원짜리 사면 최대로 돌려받습니다.
clien.net/service/board/jirum/18482032,clien.net,[신한은행-카드]신한 슈퍼SOL 설치 이벤트 : 클리앙,신한 SOL트래블,2023-12-18T00:00:00,"<strong>신한은행에서 은행앱과 카드앱을 합쳤다는 신한 슈퍼 SOL</strong>이란 앱을 출시했는데 그거 설치하고 이벤트&gt;&gt;슈퍼SOL설치이벤트로 가서 랜덤포인트 응모하기를 누르면 최소 1,000, 최대 ..."
clien.net/service/board/kin/14403868,clien.net,신한 카드 교체 발급 의미가 무엇인가요?? : 클리앙,신한 SOL트래블,,만들고 싶은 (혜택 좋은) 카드는 설계사 발급이 안된다고. 다른 신한 카드를 만들고 교체 발급 신청을 제가 하면 설계사 지원금 있다는데요. 신용카드 교체 발급시 주의할점이나 장단점 있음 좀 알려주세요
clien.net/service/board/kin/16590029,clien.net,토스카드 배송 얼마나 걸리나요? : 클리앙,토스 트래블카드,2021-10-14T00:00:00,"어제까지 대기자 100만이었다가... 갑자기 사라지고, 통장 발급 신청이 가능해졌네요.. 한 열흘은 기다리지 않을까 했는데.... 그나저나 오늘 신청한 토스카드 언제쯤 오나요? 이미 받으신 분들은 얼마나 걸렸는지 알고싶네요"
clien.net/service/board/kin/16749423,clien.net,토스 카드 해외 결재 환율 문의 : 클리앙,토스 트래블카드,,<strong>토스</strong> 뱅크에 계좌를 만들면서 카드도 신청했습니다. 이 카드를 알리 익스프레스 결재 카드로 등록을 했는데... Pre authorization으로 $1이 결재 되었다가 취소 되었습니다. 근데 1$이 1803원이네요? (원화 결재는 차단해 놓았습니다) ...
clien.net/service/board/kin/16901090,clien.net,토스 otp 카드 타 은행 등록 방법 : 클리앙,토스 트래블카드,,<strong>범용성 없는 전용 NFC OTP</strong>입니다. 범용성 있는걸로 타행에서 발급하셔야 해요. 토스뱅크에 타행 발급 OTP는 등록 가능하나 토스뱅크카드의 OTP를 타행에서 등록시키진 못합니다.
clien.net/service/board/kin/18013611,clien.net,신한 플레이(play) 핸드폰 변경 후 로그인 사용 방법 : 클리앙,신한 SOL트래블,,주거래 은행과 주력 카드가 신한 이어서 온라인 결제는 신한 플레이를 주로 이용했습니다. 그런데 핸드폰 기기변경후에 앱 설치후 이용하려고 하니까 로그인 메뉴는 없고 계속 가입만 하도록 되어 있습니다.
clien.net/service/board/kin/18066598,clien.net,트래블로그 카드 사용법 확인 부탁드립니다 : 클리앙,트래블월렛;하나 트래블로그,,"미리 환전 좀 해야하는데 일이 꼬여 하지 못했고 그나마 하x은행 트래블로그 카드를 들고온지라 이걸로 쓰면 될 거 같긴 하네요 다만, 카드는 발급 받았는데 사용 방법을 읽어봐도 좀 헷갈리는 부분이 있네요 이해한 바로는 ..."
clien.net/service/board/kin/18240253,clien.net,밴쿠버 여행중인데 교통카드 질문 : 클리앙,트래블월렛,2023-08-10T00:00:00,현재 밴쿠버 여행중인데 내일 다운타운에서 델타지역 가려고 합니다. 오늘 트레블웰렛 카드로 버스 탔더니 현금 결제랑 똑같이 요금 나오더라구요. 내일은 컴패스 카드를 이용해보려고 하는데 1. 갈때는 다운타운-브릿지...
clien.net/service/board/kin/18273347,clien.net,항공권 구매/ 트립닷컴 믿을만 한가요? : 클리앙,트래블월렛,,"발권 마치고 나중에 일방적으로 취소 시킨다던지, 비행스케줄 변경시 커뮤니케이션이 어렵다던지, 이런 경우 입니다. 지금까지 항공권은 주로 항공사 홈페이지나 국내 여행사에서만 구매해서 트립닷컴이 처음이라 좀 ..."
clien.net/service/board/kin/18278920,clien.net,트레블 월렛 ATM 인출 문의 드려요 : 클리앙,트래블월렛,2023-08-31T00:00:00,베트남 나뜨랑에서 인출 시 실물 카드가 있어야지만 ATM에서 인출이 가능한가요? 아니면 휴대폰 어플만으로도 인출이 가능한가요? 실물 카드가 필요할 것 같은데 출국전까지 못 받을 것 같아서요
clien.net/service/board/kin/18312267,clien.net,트레블 월렛 취소승인 관련입니다 : 클리앙,트래블월렛,2023-09-19T00:00:00,"해외에서 트레블월렛 사용중입니다. 어제 구매 후 결제취소를 했는데, 결제금액 빠진후에 취소금액이 안들어오네요. 일단 영수증은 사진찍어서 보관중인데 원래 취소 승인이 오래 걸리는걸까요?"
clien.net/service/board/kin/18530434,clien.net,일본 가면 애플페이 사용처가 대부분일까요? : 클리앙,하나 트래블로그,,"@휴먼님 하나은행이 거래은행이 아니라서...또 통장 만들고 하는게 귀찮아요...^^;;; ... 대부분은 애플페이가 가능하긴한데 안되는곳이 좀 있어서 카드 + 현금 들고 다니시긴 해야합니다. ... 스이카 충전해서 사용하시고 시간적 여유가 있으시다면 트래블로그 카드 하나 발급 받으세요 엔화 환전수수료 무료에 엔화로 채워놓고 현지 카드결제 가능, 여차하면 세븐일레븐에서 수수료 없이 엔화 출금도 가능해서 유용하더라구요"
clien.net/service/board/kin/18742949,clien.net,대만 현지에서 현금을 뽑아 쓰려면 어떤 게 제일 좋을까요? : 클리앙,신한 SOL트래블;트래블월렛;하나 트래블로그,,트래블 로그에 비슷하게 대응하는 KB트래블러스 카드를 발급 받으시면 되는데 아직 나온지 얼마 되지 않아서 현금 인출 수수료 무료인 ATM 정보가 부족할거예요. 신한 SOL트래블 카드도 <strong>일부 가맹점만 무료로 출금</strong>이 되더라고요.
clien.net/service/board/kin/18798416,clien.net,애객 이라는 사이트를 보게되었는데 : 클리앙,하나 트래블로그,,사이트의 주소는 아래와 같고 https://aagag.com/ 국내 몇몇 커뮤니티의 인기글을 모아 게시하는 사이트 입니다 아마 크롤링 (혹은 스크래핑)을 한거 같은데 이런 사이트는 불법이 아닌가요? 광고도 붙어있고 그런거보면 이 ...
clien.net/service/board/kin/19008935,clien.net,하나 트래블로그카드 사용법이요~ : 클리앙,하나 트래블로그,2025-06-21T00:00:00,그냥 베트남돈으로 환전되어있는 트래블로그 카드로 결제해도 될까요?? 아님 일부금액을 우리나라 돈으로 다시 바꿔서 갖고 있어야하나요?? ... 체크카드처럼 연결된 계좌에 원화가 있으면 하나머니로 자동 충전되면서 결제됩니다.(자동충전은 하나머니 앱에서 설정 가능)
clien.net/service/board/lecture/10378769,clien.net,"토렌트 사용 시, 조금은 번거로운 트래커추가를 간편하게..? : 클리앙",트래블월렛,,"조금은 오래된 토렌트를 받으려다 보면, 최신 트래커의 추가를 요하는 경우가 종종 있습니다 · 구글 검색 -&gt; 트래커파일 열어서 -&gt; ctrl + v -&gt; 토렌트에서 추가"
clien.net/service/board/lecture/13814911,clien.net,토스 앱으로 푼돈 버는(?) 소소한 팁 : 클리앙,토스 트래블카드,2019-08-12T00:00:00,"(레퍼럴코드가 포함되어있지만, 저에게는 도움이 1도 안되기에, 편의를 위해서 일단 코드를 더해올려봅니다. 댓글로 레퍼럴 없는 링크나 바로가기 방법을 알려주시면, 수정하겠습니다.) <strong>토스</strong> 만보기 바로가기 : https://toss..."
clien.net/service/board/lecture/16728325,clien.net,아마존에서 트레블월렛 쓰시는 분들은 백업페이먼트 기능을 꼭 끄세요. : 클리앙,트래블월렛,,트레블월렛이 아마존 10% 할인을 해주고 있어서 사용하시는 분들이 많은거 같은데. 저도 며칠전에 처음으로 등록해서 사용해봤거든요. 아마존은 배송될때 결제를 진행하긴 하지만 가끔 배송이 늦어지면 재결제를 하는 경우가 ...
clien.net/service/board/lecture/17606926,clien.net,토스 '내 보험' 약관에 한해 정보동의 철회하기 : 클리앙,토스 트래블카드,2022-10-04T00:00:00,개인 신용정보 판매로 논란이 되었던 토스의 &#x27;내 보험&#x27;의 동의 약관에 한해서 정보동의 철회 가능합니다.(그외 다른 개별약관들도 철회 가능합니다) 토스앱 오른쪽아래 전체(三) - 오른쪽위 바퀴(설정) - 가운데 약관 및 ...
clien.net/service/board/lecture/18031805,clien.net,DeepL보다 ChatGPT가 번역에 우월합니다. (+팁) : 클리앙,하나 트래블로그,2023-04-18T00:00:00,"성능만 두고보았을 때 말이죠. DeepL은 훨씬 더 번역에 특화된 UI와 기능을 가지고 있어서, DeepL이 더 좋은 점이 있는 것 같긴 합니다. 제가 보기에 가장 큰 차이점은 컨텍스트를 이해하는 능력입니다."
clien.net/service/board/lecture/18204643,clien.net,속터지는 하나카드 트래블로그 해외결제 이용기 : 클리앙,하나 트래블로그,,감사합니다. 2024년 2월 현재 <strong>하나카드앱 =&gt; 오른쪽 아래 전체 -&gt; 내카드 -&gt; 일반결제(안심클릭) 등록/관리 에서 등록</strong>하실 수 있습니다. 이 등록은 하나카드의 정책은 아니고 비자/마스터 카드의 인터넷 결제 관련 요구사항입니다.
clien.net/service/board/lecture/18367156,clien.net,"일본,대만 방문시를 위한 각국의 결제환경(캐쉬리스)정리 : 클리앙",하나 트래블로그,,"일본은 그냥 스이카로 교통, 음식점, 가전 판매점, 자판기까지 다 되던데요... 아이폰 하나 있으면 카드도 필요 없어요.... ... 현재 외국 여행 가시는 분들에게는 트래블월렛과 트래블로그 카드가 젤 무난합니다."
clien.net/service/board/lecture/18648036,clien.net,신한 슈퍼Sol 이벤트 참여해서 최소 5천원 이상 받기 : 클리앙,신한 SOL트래블,,"<strong>슈퍼SOL 설치하고, 가입 완료 단계에 권유코드 입력하는 부분에 &#x27;신한투자증권&#x27; 선택하고, &#x27;주식쏠쏠&#x27;을 입력</strong>하세요"
clien.net/service/board/lecture/18806850,clien.net,"외화 선불카드(토스,트래블로그,트래블월렛,...) 간단 비교와 간단 정리 : 클리앙",토스 트래블카드;트래블월렛;하나 트래블로그,,"미국에 체류하면서 윗글에 있는 토스체크카드, 하나 트래블로그 체크카드, 신한 SOL트래블 체크카드, 트래블월렛카드 를 모두 사용하고 있습니다. 글쓴이께서 작성하신 내용 포함해서 장단점을 간단히 써봅니다."
clien.net/service/board/lecture/19187827,clien.net,"주식관련 뉴스, 리포트, 텔레그램 채널을 한 방에 : 클리앙",트래블월렛,,"안녕하세요, 뉴스, 리포트, 텔레그램 채널등등 정보가 난무하는 가운데, 최대한 중요한 정보만 빠르게 확인하는 요약 채널을 만들었습니다. 노이즈는 최대한 걸러내고 중요한 시그널을 골라내고 즈요 뉴스등은 레퍼런스를 ..."
clien.net/service/board/news,clien.net,클리앙 : 새로운소식,신한 SOL트래블;하나 트래블로그,,커뮤니티 커뮤니티전체 C 모두의광장 F 모두의공원 I 사진게시판 Q 아무거나질문 D 정보와자료 N 새로운소식 T 유용한사이트 P 자료실 E 강좌/사용기 L 팁과강좌 U 사용기 · 체험단사용기 W 사고팔고 J 알뜰구매 S 회원중고장터 ...
clien.net/service/board/news/17872571,clien.net,토스모바일 요금제 4종 베일 벗었다…'최대 1만원 캐시백' : 클리앙,토스 트래블카드,,특히 우리나라는 정부에서 MVNO에게 전파 사용료를 감면하고 있어서 MNO대비 요금을 더 낮출수 있는면이 있죠. 암튼 기본적으로 MNO보다 금액이 높으면 굳이 MVNO 이용할 이유가 없겠죠. 암튼 저도 토스요금제는 많이 아쉽군요.
clien.net/service/board/news/18480673,clien.net,"신한금융그룹, 슈퍼앱 '신한 슈퍼 쏠' 18일 출시 : 클리앙",신한 SOL트래블,2023-12-18T00:00:00,"신한 슈퍼SOL은 <strong>신한금융의 주요 그룹사인 ▲은행 ▲카드 ▲증권 ▲라이프 ▲저축은행 등 5개사 금융 앱의 핵심 기능을 결합</strong>했다. 은행 이체, 카드 결제, 주식 투자, 보험 가입 등을 원할 때 개별 앱 사용이 없어도 된다."
clien.net/service/board/news/18977646,clien.net,이제 애플도 토스로 결제한다 : 클리앙,토스 트래블카드,2025-05-16T00:00:00,"<strong>토스</strong> <strong>토스</strong>(대표 이승건)가 토스페이를 애플 서비스 결제 수단으로 지원한다. 앞으로 토스페이로 앱 스토어, 애플뮤직, 애플 TV 앱, 애플 아케이드, 아이클라우드 저장 공간 등에서 결제가 가능하다."
clien.net/service/board/news/19207647,clien.net,국내 최대 불법 웹툰 사이트 운영자 국내 송환…정부 “저작권 범죄자 끝까지 잡는다” : 클리앙,신한 SOL트래블;트래블월렛,,국내 최대 불법 웹툰 사이트 운영자 국내 송환…정부 “저작권 범죄자 끝까지 잡는다” | 전자신문 한국 국적을 버리며 일본으로 도피했던 국내최대 불법 웹툰 공유사이트 운영자가 한·일 당국의 공조로 결국 국내로 송환됐다.
clien.net/service/board/news/19207723,clien.net,"iFixit 분해 결과, ‘트럼프 폰’은 HTC 복제품으로 확인 : 클리앙",트래블월렛,,"iFixit이 트럼프 폰을 입수해 분해 분석한 결과, T1 폰은 HTC U24 Pro를 거의 그대로 복제한 수준이다. iFixit은 NBC와 협력해 해당 네트워크의 트럼프 폰 미디어 샘플과 U24 Pro를 함께 확보했다. 이들은 두 기기를 CT 스캔으로 분석하고, 부품 단위까지 완전히 분해한 뒤, U24 Pro의 메인보드를 T1 폰의 섀시에 넣어 실제로 작동하는 ‘프랑켄슈타인’ 폰까지 조립했다."
clien.net/service/board/park/11965970,clien.net,신한 더클래식Y 쓰시는분 계신가요? : 클리앙,신한 SOL트래블,,<strong>23.5</strong> 쓰고있는데 대중교통 할인이나 적립 안되는거 제외하곤 다른 혜택들이 마음에 드네요.(특히 무실적 해외 5% 적립 부분) Visa Young Premium 혜택 + Visa platinum 혜택도 제공되다보니 연회비 대비 괜찮아보이기도 하구요.
clien.net/service/board/park/13063914,clien.net,솔샤르를 영어로 써보세요 : 클리앙,신한 SOL트래블,,솔샤르 : 현 맨체스터 유나이티드 감독대행 힌트 : 노르웨이 사람 ( 생전 듣도보도 못한 구성임 ;; )
clien.net/service/board/park/13307424,clien.net,(아재력) 어제 약간 충격 받은게 롯동금을 모르는 분들이 꽤 많으시거라구요 : 클리앙,신한 SOL트래블,,제 또래는 &#x27;롯동금&#x27;은 아주 신나는 노래였는데 댓글에 &quot;??&quot; 가 달리더라구요 ㅠㅠ 설명하자니 무슨 삼강해태! 아세아기아 느낌나는거 같기도해서 그냥 참담한 심정었읍니다. 88년생 이하는 다 나가 주세요... 감사하빈자.
clien.net/service/board/park/13319179,clien.net,토스 플레이트 카드 도착했네요 : 클리앙,토스 트래블카드,,일단 메탈 카드인줄 알았는데 플라스틱이고 외부 코팅 필름 마감 개구리네요 밀대 작업해서 밀어낸 흔적 다보입니다 그리고 보통 카드 받으면 약관 및 혜택 안내서가 있어야하는데 이건 없네요... 카드랑 이상한 스티커 달랑 끝
clien.net/service/board/park/13589364,clien.net,온라인게임인데 솔플만 하시는 분 계신가요 : 클리앙,신한 SOL트래블,,"제가 그렇습니다. 디비전2, 디아블로3, 몬헌 등등 예전엔 피씨도 그랬고, 지금은 콘솔로도 멀티 안합니다. 사실 안하는건 아니고, 아주 드물게 아는 사람이랑만 잠시 합니다. 아.. 와이프랑은 좀 더 자주 하네요."
clien.net/service/board/park/14171399,clien.net,일단 토스 지문인식 없앴네요..... : 클리앙,토스 트래블카드,,잠금도 안면인식만 남겨야되나 고민이네요 -_-;;; 아..... 귀찮 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
clien.net/service/board/park/14991331,clien.net,유튭) 그 솔지가 아니네요 : 클리앙,신한 SOL트래블,,신삥 솔지 막툽 노래 찾다 나오네요
clien.net/service/board/park/15017442,clien.net,토스 소비 타이틀 웃기네요 ㅋㅋ : 클리앙,토스 트래블카드,2020-05-30T00:00:00,꽤나 정확합니다. 그나저나 얼마나 더 써야 고급 커피 중독자가 되는 걸까요;; 세상엔 참 굇수들이 많습니다~~
clien.net/service/board/park/15310174,clien.net,신세계에서 이해 안되는 장면 : 클리앙,신한 SOL트래블,,"이정재가 연변거지를 풀어서 최민식을 죽이는 장면이 여러번 봐도 이해가 안되더라구요. 최민식은 경찰이고, 총도 있습니다.(죽는 장면에서 나오죠) 연변거지는 누가봐도 수상합니다. 게다가 장소도 비밀장소라서 누가 ..."
clien.net/service/board/park/15500284,clien.net,신한 네이버페이 체크 시즌2가 나왔군요 : 클리앙,신한 SOL트래블,,네이버페이 신한카드 체크 S2 카드는 네이버페이에서 네이버페이 라인프렌즈 신한카드 신청 시 대안 발급 신청만 가능 합니다.
clien.net/service/board/park/16066993,clien.net,토스 신분증 인식이 안되네요 : 클리앙,토스 트래블카드,,이사가서 주소가 달라서 안되는지 안되네요 1주 못얻어서 아쉽네요
